Title,Author
James Otis The Pre-Revolutionist,J. C. Ridpath
The Birds' Christmas Carol,Kate Douglas Wiggin
Almayer's Folly,Joseph Conrad
Tono Bungay,H. G. Wells
Chita: A Memory of Last Island,Lafcadio Hearn
The Cruise of the Jasper B.,Don Marquis
The Moon Endureth--Tales and Fancies,John Buchan
The Bobbsey Twins in the Country,Laura Lee Hope
"Memoirs of Extraordinary Popular Delusions, Vol. 2",Charles Mackay
Thomas Jefferson,Edward S. Ellis
Allan Quatermain,H. Rider Haggard
Love of Life,Jack London
The Princess and the Curdie,George MacDonald
The Princess and the Goblin,George MacDonald
Raffles,E. W. Hornung
The Amateur Cracksman,E. W. Hornung
The Roadmender,Michael Fairless
The Mansion,Henry Van Dyke
Lucasta,Richard Lovelace
Somebody's Little Girl,Martha Young
The King of the Golden River,John Ruskin
The Old Curiosity Shop,Charles Dickens
A Child's History of England,Charles Dickens
Memoir of Fleeming Jenkin,Robert Louis Stevenson
The Light Princess,George MacDonald
The Castle of Otranto,Horace Walpole
Glaucus,Charles Kingsley
Stories From the 1910 issues of Everybody's Magazine,Various
Autobiography of a Quack And The Case of George Dedlow,S. W. Mitchell
Proposed Roads to Freedom,Bertrand Russell
The Kreutzer Sonata and Other Stories,Leo Tolstoi
The Goodness of St. Rocque and Other Stories,Alice Dunbar
A Personal Record,Joseph Conrad
The Atomic Bombings of Hiroshima and Nagasaki,The Manhattan Engineer District of the United States Army
Worldwide Effects of Nuclear War: Some Perspectives,the United States Arms Control and Disarmament Agency
The Compleat Angler,Izaak Walton
Catalan's Constant,Greg Fee
Creatures that once were Men,Maxim Gorky
The Golden Threshold,Sarojini Naidu
Poems,Frances E. W. Harper
The Cricket on the Hearth,Charles Dickens
"Heroes, or Greek Fairy Tales",Charles Kingsley
The Battle of Life,Charles Dickens
American Notes for General Circulation,Charles Dickens
Lives of the noble Grecians and Romans,Plutarch
The Secret Guide to Computers,Russ Walter C
Phil the Fiddler,"Horatio Alger, Jr."
Paul the Peddler,"Horatio Alger, Jr"
The Fall of Troy,Smyrnaeus Quintus
The Anglo-Saxon Chronicle,Unknown
Life of Robert Browning,William Sharp
Life and Letters of Robert Browning,Mrs. Sutherland Orr
Grace Abounding to the Chief of Sinners,John Bunyan
The Chimes,Charles Dickens
Rasselas,Samuel Johnson
Phantasmagoria,Lewis Carroll
Pictures from Italy,Charles Dickens
"Ancient Poems, Ballads and Songs of the Peasantry of England",Anonomous
Wild Wales,George Borrow
The Dynamiter,Robert Louis Stevenson and Fanny van de Grift Stevenson
"The Coral Island, a Tale of the Pacific Ocean",R. M. Ballantyne
The Figure in the Carpet,Henry James
The Haunted Man and the Ghost's Bargain,Charles Dickens
The Death of the Lion,Henry James
The Altar of the Dead,Henry James
The Violet Fairy Book,Various
The Yellow Fairy Book,Various
God-Idea of the Ancients,Eliza Burt Gamble
An Outcast of the Islands,Joseph Conrad
Memoirs of Extraordinary Popular Delusions,Charles Mackay
The Square Root of 10,Robert Nemiroff and Jerry Bonnell
Miscellaneous Mathematical Constants,Various
The Golden Mean or Ratio ],Anonymous
The Square Root of 8,Robert Nemiroff and Jerry Bonnell
The Square Root of 7,Robert Nemiroff and Jerry Bonnell
The Square Root of 6,Robert Nemiroff and Jerry Bonnell
The Square Root of 5,Robert Nemiroff and Jerry Bonnell
The Square Root of 3,Robert Nemiroff and Jerry Bonnell
Essays of Travel,Robert Louis Stevenson
The Philobiblon of Richard de Bury,Richard de Bury
Ponkapog Papers,Thomas Bailey Aldrich
Looking Backwards from 2000 to 1887,Edward Bellamy
"The Battle of the Books, and Other Short Pieces",Jonathan Swift
The Varieties of Religious Experiance,William James
Sylvie and Bruno,Lewis Carroll
The Warden,Anthony Trollope
Codex Junius 11,Unknown
Poems,Alan Seeger
"Prayers Written At Vailima, and A Lowden Sabbath Morn",Robert Louis Stevenson
Orlando Furioso,Lodovico Ariosto
Across the Plains,Robert Louis Stevenson
Prester John,John Buchan
Idylls of the King,"Alfred, Lord Tennyson"
America Through the Spectacles of an Oriental Diplomat,Wu Tingfang
Areopagitica,John Milton
Indian Why Stories,Frank Bird Linderman
Pellucidar,Edgar Rice Burroughs
Gulliver of Mars,Edwin L. Arnold
Letters of George Borrow,George Borrow
Pharsalia; Dramatic Episodes of the Civil Wars,Lucan
"The Monk, a romance",M. G. Lewis
Notes from the Underground,Feodor Dostoevsky
Vanity Fair,William Makepeace Thackeray
"Heimskringla, or the Chronicle of the Kings of Norway",Snorri Sturluson 598
Njal's Saga,Unknown
Rivers to the Sea,Sara Teasdale
The Sisters' Tragedy,Thomas Bailey Aldrich
Twilight Stories,Various
The Chinese Nightingale and Other Poems,Vachel Lindsay
Flame and Shadow,Sara Teasdale
Robert Louis Stevenson,Alexander H. Japp
Catriona,Robert Louis Stevenson
Master Humphrey's Clock,Charles Dickens
Danny's Own Story,Don Marquis
"Religio Medici, Hydriotaphia, et al",Thomas Browne
Running a Thousand Miles for Freedom,William and Ellen Craft
Our Nig,Harriet E. Wilson
The Woman in White,Wilkie Collins
"Ginx's Baby, A Satire",Edward Jenkins
The Pickwick Papers,Charles Dickens
Down with the Cities,Tadashi Nakashima C
Tales from Shakespeare,Charles and Mary Lamb
1995 CIA World Factbook,United States Central Intelligence Agency
The Moravians in Georgia,Adelaide L. Fries
"The Complete Works of Brann, the Iconoclast, Vol. 12",William Cowper Brann
"The Complete Works of Brann, the Iconoclast, Vol. 10",William Cowper Brann
"The Complete Works of Brann, the Iconoclast, Vol. 1",William Cowper Brann
The History of the Thirty Years' War,Friedrich Schiller
The Mystery of Edwin Drood,Charles Dickens
The Planet Mars and its Inhabitants,Eros Urides and J. L. Kennon
The Go Ahead Boys and the Racing Motorboat,Ross Kay
The Further Adventures of Robinson Crusoe,Daniel Defoe
Mr. Standfast,John Buchan
Greenmantle,John Buchan
The Thirty-nine Steps,John Buchan
Puck of Pook's Hill,Rudyard Kipling
Rewards and Fairies,Rudyard Kipling
The Unbearable Bassington,Saki
The Contrast,Royall Tyler
Out of Time's Abyss,Edgar Rice Burroughs
The People That Time Forgot,Edgar Rice Burroughs
The Land That Time Forgot,Edgar Rice Burroughs
Silas Marner,George Eliot
The Underdogs,Mariano Azuela
Project Trinity 1945-1946,Carl Maag and Steve Rohrer
"Baron Trigault's Vengeance, Vol. 2 of 2",Emile Gaboriau
Under the Andes,Rex Stout
At the Earth's Core,Edgar Rice Burroughs
Anne's House of Dreams,Lucy Maud Montgomery
Main Street,Sinclair Lewis
The Life of Me,Clarence Edgar Johnson C
